TransactionID,DateTime,CustomerID,CustomerName,Age,Gender,Country,City,ProductID,ProductName,Category,Price,Quantity,TotalAmount,DiscountApplied,PaymentMethod,OrderStatus,DeliveryDate,ReviewRating,Feedback
TXN1000,2023-07-03 14:41:00,9282,Christina Johnson,68,Female,United States Virgin Islands,Andersonfort,P5000,Laptop Stand,Office Supplies,127.43,2,245.14,9.72,Credit Card,Completed,2023-07-06 14:41:00,3.8,Month huge interesting.
TXN1001,2023-04-29 00:52:00,5476,Joshua White,19,Female,South Africa,West Brian,P5001,Yoga Mat,Fitness,173.15,9,1393.87,164.48,Cash,Completed,2023-05-01 00:52:00,1.3,Along decision rate allow mouth attorney.
TXN1002,2023-06-05 14:55:00,3171,Casey Wheeler,36,Male,Korea,Amandastad,P5002,Wireless Headphones,Electronics,67.17,9,520.37,84.16,PayPal,Completed,2023-06-10 14:55:00,3.8,Interest cover stop quickly join decision along college.
TXN1003,2023-09-13 06:47:00,4931,Matthew Campbell,66,Male,Georgia,Marcshire,P5003,Smartphone Case,Accessories,399.84,3,1038.55,160.97,Bank Transfer,Completed,2023-09-19 06:47:00,3.3,Indicate find agree attorney onto site.
TXN1004,2023-04-26 10:15:00,5670,Christine Mitchell,31,Other,Greece,Josephstad,P5004,Yoga Mat,Fitness,198.23,3,572.32,22.37,Credit Card,Pending,2023-05-02 10:15:00,1.3,Improve morning house would always clear.
TXN1005,2023-02-04 07:35:00,1328,Frances Frazier,48,Other,Singapore,West Edward,P5005,Running Shoes,Clothing,185.15,4,643.39,97.21,Credit Card,Pending,2023-02-08 07:35:00,4.9,Decide technology low during.
TXN1006,2023-02-08 16:22:00,2403,Connie Johnson,28,Other,Gabon,East Thomas,P5006,Office Chair,Furniture,338.41,9,2505.19,540.5,Cash,Cancelled,2023-02-15 16:22:00,2.2,Save stage no management box meeting now staff.
TXN1007,2023-10-09 07:56:00,2488,Kimberly Hansen,57,Female,Nigeria,Hicksview,P5007,Kitchen Blender,Appliances,213.54,6,1205.48,75.76,Bank Transfer,Completed,2023-10-16 07:56:00,3.9,On certain detail much fire southern meeting.
TXN1008,2023-09-06 23:08:00,5278,Terri Martinez,71,Male,Libyan Arab Jamahiriya,South Michael,P5008,Laptop Stand,Office Supplies,52.19,2,92.53,11.85,Cash,Cancelled,2023-09-10 23:08:00,4.0,Myself drive big fish.
TXN1009,2023-03-12 10:27:00,9437,Kelly Rose,73,Female,South Georgia and the South Sandwich Islands,Jonesberg,P5009,LED Desk Lamp,Home Decor,393.09,5,1676.8000000000002,288.65,Cash,Pending,2023-03-14 10:27:00,3.4,Speak as board.
TXN1010,2023-10-20 07:05:00,3392,Christopher Ross,52,Male,Svalbard & Jan Mayen Islands,Mannshire,P5010,Running Shoes,Clothing,88.31,6,442.9500000000001,86.91,PayPal,Pending,2023-10-26 07:05:00,3.3,About class play speak baby.
TXN1011,2023-08-04 02:58:00,1793,Sarah Wiley,21,Female,Colombia,Port Taylor,P5011,Office Chair,Furniture,86.06,3,258.14,0.04,PayPal,Pending,2023-08-10 02:58:00,1.3,Develop everything method assume more picture.
TXN1012,2023-01-16 15:55:00,5419,Peter Hughes,36,Other,Gibraltar,Lunamouth,P5012,Kitchen Blender,Appliances,144.73,1,119.79,24.94,Bank Transfer,Completed,2023-01-23 15:55:00,3.8,Paper top now size by.
TXN1013,2023-04-08 15:33:00,1008,Nicole Martin DDS,61,Other,Poland,Lake Troymouth,P5013,Laptop Stand,Office Supplies,400.86,8,2844.2200000000003,362.66,Cash,Pending,2023-04-09 15:33:00,1.6,Century series yet federal detail direction bad.
TXN1014,2023-09-20 07:48:00,4442,Lydia Bender,26,Female,Albania,Garrettchester,P5014,Wireless Headphones,Electronics,297.23,5,1224.86,261.29,Bank Transfer,Pending,2023-09-25 07:48:00,4.1,Class PM travel suddenly walk agree his point.
TXN1015,2023-08-25 08:45:00,1058,Christopher Luna,34,Male,Tokelau,Port Gabriel,P5015,Running Shoes,Clothing,496.74,6,2916.62,63.82,Bank Transfer,Pending,2023-08-31 08:45:00,3.8,Kind purpose give face traditional interview entire.
TXN1016,2023-05-16 15:40:00,8467,Jeffrey Ramirez,75,Male,Algeria,East Peter,P5016,Yoga Mat,Fitness,205.59,8,1453.5,191.22,Credit Card,Cancelled,2023-05-23 15:40:00,2.8,Network health world thus.
